id,first_release_date,genres,name,rating,rating_count,total_rating,total_rating_count
9012,1386115200.0,"Puzzle, Indie",Robot Rescue Revolution,,,,
9865,1399334400.0,"Fighting, Sport, Indie, Arcade",Sportsfriends,62.15205072670145,21.0,71.79031107763645,28.0
10336,1640822400.0,"Puzzle, Strategy, Indie, Card & Board Game",Frogs vs. Storks,,,,
11644,1439164800.0,"Simulator, Adventure, Indie",One Final Breath,,,,
13359,1445299200.0,"Adventure, Indie",Pulse,40.0,1.0,50.83333333333333,4.0
13739,1482192000.0,"Adventure, Indie",The Mine,,,,
16266,1132617600.0,"Shooter, Indie",Mutant Storm: Reloaded,60.0,1.0,72.5,3.0
16548,1380585600.0,"Platform, Adventure, Indie",Rain Blood Chronicles: Mirage,60.0,3.0,60.0,3.0
17342,1419811200.0,"Role-playing (RPG), Adventure, Indie",Xsyon: Prelude,60.0,0.0,60.0,0.0
17660,1404518400.0,"Platform, Adventure, Indie",Aritana and the Harpy's Feather,,,,
17887,1423008000.0,"Simulator, Strategy",Arms Dealer,50.0,0.0,50.0,0.0
19029,1447113600.0,"Shooter, Platform, Puzzle, Simulator, Indie",Kumoon: Ballistic Physics Puzzle,40.0,0.0,55.0,2.0
19056,1461888000.0,Indie,City Z,,,,
19242,1470096000.0,"Platform, Adventure, Indie",Rising Islands,50.0,0.0,48.33333333333333,3.0
19607,1468281600.0,"Real Time Strategy (RTS), Sport, Strategy, Indie",VideoBall,40.52238581278415,6.0,60.69869290639208,14.0
21317,1455062400.0,"Puzzle, Adventure, Indie, Arcade",Factotum 90,,,70.0,1.0
21597,1431388800.0,"Adventure, Indie",Lost Orbit,70.0,0.0,73.16666666666666,3.0
22725,1471305600.0,"Shooter, Indie",Mind Dead,,,,
23960,1482451200.0,"Platform, Adventure, Indie",Blanco: The Color of Adventure,70.0,0.0,70.0,0.0
25065,1427846400.0,Indie,Gare Sapphire Mechs,,,,
25338,1712016000.0,"Platform, Puzzle, Role-playing (RPG), Adventure, Indie",Saviorless,66.81127982646422,6.0,73.15563991323211,8.0
26581,1481760000.0,"Role-playing (RPG), Simulator, Adventure, Indie",Shadows of Kurgansk,50.0,0.0,50.0,0.0
26779,1433462400.0,"Adventure, Indie",Sylvio,80.0,1.0,56.5,3.0
27288,1487808000.0,"Platform, Puzzle, Adventure, Indie",Dye,70.0,0.0,70.0,0.0
28925,1491177600.0,"Role-playing (RPG), Adventure, Indie",The Adventures of Alvis,,,,
29181,1492041600.0,Indie,Nighthaw-X3000,,,,
29290,1490918400.0,"Role-playing (RPG), Indie",Chronicles of a Dark Lord: Tides of Fate Remastered,,,,
29333,1494979200.0,"Role-playing (RPG), Adventure, Indie",Spaceship Looter,50.0,0.0,50.0,0.0
29525,1510790400.0,"Shooter, Puzzle, Adventure, Indie",Hollow,50.0,3.0,50.0,3.0
29592,1486944000.0,Indie,LOR - League of Runners,,,,
29951,1482883200.0,"Simulator, Sport, Indie",Score a goal (Physical football),50.0,0.0,50.0,0.0
30091,1482278400.0,Indie,TacoFace,,,,
30254,1407715200.0,"Strategy, Indie",Global Outbreak: Doomsday Edition,50.0,0.0,50.0,0.0
30385,1480032000.0,"Music, Role-playing (RPG), Strategy, Adventure, Indie",Andoran Skye XD,,,,
30832,1486339200.0,Adventure,Baezult 2,70.0,0.0,70.0,0.0
30900,1477267200.0,"Point-and-click, Adventure, Indie",Ghostdream,50.0,0.0,50.0,0.0
31431,1481760000.0,"Platform, Puzzle, Adventure, Indie, Arcade",Ant-gravity: Tiny's Adventure,,,,
31535,1472083200.0,"Role-playing (RPG), Adventure, Indie",A Midsummer Night's Choice,70.0,1.0,70.0,1.0
31763,1485129600.0,Indie,Swordlord,70.0,0.0,70.0,0.0
32314,1467590400.0,"Sport, Adventure, Indie",Unbreakable Vr Runner,70.0,0.0,70.0,0.0
32357,1525996800.0,Indie,Rogues Like Us,60.0,0.0,60.0,0.0
32490,1465862400.0,"Puzzle, Simulator, Indie",Oese,70.0,0.0,70.0,0.0
32507,1510617600.0,"Shooter, Adventure, Indie, Arcade",Beekyr Reloaded,70.0,1.0,70.0,1.0
32598,1471392000.0,Indie,Giga Girl,70.0,0.0,70.0,0.0
32831,1472169600.0,"Platform, Racing, Sport, Indie",Beeftacular,60.0,0.0,60.0,0.0
32921,1487116800.0,"Strategy, Quiz/Trivia, Indie, Card & Board Game",Sumer,,,,
32959,1465430400.0,"Shooter, Indie, Arcade",Mecha Ritz: Steel Rondo,70.0,2.0,70.0,2.0
32970,1461283200.0,"Role-playing (RPG), Adventure, Indie",The Sea Eternal,40.0,0.0,40.0,0.0
33061,1487289600.0,"Puzzle, Indie",Circles,70.0,1.0,70.0,3.0
33072,1466467200.0,"Adventure, Indie",Father's Island,50.0,0.0,50.0,0.0
33090,1496707200.0,"Shooter, Indie",Battlesloths 2025: The Great Pizza Wars,70.0,0.0,77.5,1.0
33120,1459814400.0,Indie,Cursor Challenge,50.0,0.0,50.0,0.0
33160,1461715200.0,"Role-playing (RPG), Adventure, Indie",The Orphan Dreams,,,,
33263,1459382400.0,"Strategy, Indie",Insane,,,,
33300,1459728000.0,"Role-playing (RPG), Adventure, Indie",Daughter of Shadows: An SCP Breach Event,50.0,1.0,50.0,1.0
33336,1465344000.0,"Strategy, Indie",Dino Eggs: Rebirth,,,,
33425,1459296000.0,Indie,The Sequence,80.0,0.0,80.0,0.0
33860,1453420800.0,Indie,Zamarian,,,,
33861,1455840000.0,Indie,Cyborg Rage,,,,
33863,1455494400.0,"Platform, Indie",Super Helmets on Fire DX Ultra Edition Plus Alpha,50.0,0.0,50.0,0.0
34305,1451952000.0,Indie,Contract,50.0,0.0,50.0,0.0
34311,1444867200.0,"Role-playing (RPG), Indie",Faron's Fate,70.0,0.0,70.0,0.0
34504,1415232000.0,"Platform, Adventure, Indie",Alice's Mom's Rescue,,,,
34526,1455753600.0,"Adventure, Indie",MacGuffin,50.0,0.0,50.0,0.0
34622,1445385600.0,"Simulator, Strategy, Indie",Armor Clash,50.0,0.0,50.0,0.0
34668,1494892800.0,"Adventure, Indie",Concurrency,,,,
34896,1437696000.0,"Role-playing (RPG), Simulator, Strategy, Indie",Microcosmum: Survival of Cells,50.0,1.0,50.0,1.0
35016,1327536000.0,"Platform, Puzzle, Tactical, Adventure, Indie, Arcade",Robo Miner,,,,
35107,1518134400.0,"Racing, Indie",Positron,,,,
35149,1435622400.0,"Adventure, Indie",The Last Dogma,30.0,0.0,30.0,0.0
35527,1430265600.0,Strategy,Break_In,50.0,0.0,50.0,0.0
35544,1429747200.0,"Shooter, Sport, Adventure, Indie",The Curse of Nordic Cove,50.0,0.0,50.0,0.0
35645,1427068800.0,Indie,Dungeon Highway,60.0,0.0,60.0,0.0
36027,1455235200.0,Indie,Critical Annihilation,80.0,0.0,80.0,0.0
36123,1438732800.0,"Adventure, Indie",Icebound,,,,
36222,1449446400.0,"Role-playing (RPG), Simulator, Indie",Wild Season - Episode 1,40.0,0.0,40.0,0.0
43505,1499817600.0,"Role-playing (RPG), Adventure, Indie",Catacombs 1: Demon War,50.0,0.0,50.0,0.0
51585,1500422400.0,"Simulator, Strategy, Indie",Poseidon - Project Dark Sky,,,,
51970,1506643200.0,"Adventure, Indie",Super,,,,
54452,1502668800.0,Indie,ArkanoidSmoking,,,,
54463,1502323200.0,"Strategy, Adventure, Indie",Fantasy ERA,,,,
54739,1534982400.0,"Strategy, Quiz/Trivia, Indie",Battle Squares,,,,
54848,1504051200.0,"Role-playing (RPG), Indie",XXZ: Strip Club,70.0,1.0,70.0,1.0
55307,1503619200.0,"Role-playing (RPG), Indie",Shigatari,70.0,0.0,70.0,0.0
55579,1503360000.0,"Simulator, Adventure, Indie",Wrongworld,70.0,0.0,70.0,0.0
58360,1506643200.0,"Adventure, Indie",Carpe Diem: Reboot,70.0,0.0,70.0,0.0
58744,1510012800.0,"Real Time Strategy (RTS), Sport, Strategy, Indie",Way of Redemption,,,,
59138,1506643200.0,"Simulator, Indie",Bloody Glimpse,40.0,1.0,40.0,1.0
60534,1536019200.0,"Shooter, Role-playing (RPG), Adventure, Indie, Arcade",Ninjin: Clash of Carrots,77.91886357661008,5.0,78.95943178830504,7.0
65786,1507161600.0,"Adventure, Indie",After Death,70.0,3.0,70.0,3.0
68592,1507680000.0,Indie,Monopolka,50.0,1.0,50.0,1.0
69481,1584489600.0,"Fighting, Sport, Indie, Arcade",Dunk Lords,70.0,3.0,70.0,3.0
72408,1507766400.0,Indie,Neptunian Donut,,,,
72456,1516233600.0,"Adventure, Indie","Catch the Thief, if You Can!",,,,
74184,1508371200.0,"Racing, Indie",Flappy Galaxy,,,,
74238,1508371200.0,"Adventure, Indie",The Mind of Marlo,70.0,2.0,70.0,2.0
74477,1519776000.0,"Strategy, Indie",Hinterhalt,70.0,0.0,70.0,0.0
74613,1509580800.0,"Adventure, Indie",Inner Mazes: Souls Guides,,,,
74643,1510272000.0,Role-playing (RPG),Fantasy of Eden,,,,
74653,1675123200.0,"Role-playing (RPG), Adventure, Indie",8-Bit Adventures 2,,,90.0,1.0
