id,game_id,value,external_popularity_source
4728328,2999,3.738890821e-06,IGDB
3496139,2999,1.5597217456e-05,IGDB
297772,2999,3.13958435e-06,IGDB
3609432,2999,5.110636126e-06,Steam
2493228,2999,0.0,Steam
683480,2999,2.598499685e-06,Steam
3609563,2999,4.757360711e-06,Steam
3500688,9177,4.679165237e-06,IGDB
98437,9177,4.709376526e-06,IGDB
3609495,9177,1.392734585e-06,Steam
682846,9177,3.481009012e-06,Steam
2492974,9177,0.0,Steam
3609392,9177,1.051009941e-06,Steam
3500720,9216,2.495554793e-05,IGDB
98475,9216,3.13958435e-06,IGDB
889708,9216,1.8287554388e-05,Steam
4823067,9216,3.738890821e-06,IGDB
2623843,9216,0.0,Steam
3609345,9216,6.294884535e-06,Steam
3609239,9216,4.332407391e-06,Steam
3753525,9222,9.438859786e-06,IGDB
3500726,9222,9.358330474e-06,IGDB
98476,9222,3.924480438e-06,IGDB
685400,9222,2.451414797e-06,Steam
3609567,9222,1.468576567e-06,Steam
2493473,9222,0.0,Steam
3609433,9222,1.307745194e-06,Steam
3500733,9233,3.2754156658e-05,IGDB
98482,9233,1.2558337402e-05,IGDB
2493217,9233,3.66351562e-07,Steam
3609608,9233,6.602909783e-06,Steam
619875,9233,1.3580837977e-05,Steam
3609748,9233,7.584198235e-06,Steam
3865845,9703,4.679165237e-06,IGDB
98832,9703,3.0610947417e-05,IGDB
2493373,9703,9.15878904e-07,Steam
3610131,9703,1.8388662481e-05,Steam
624830,9703,1.1227479772e-05,Steam
3610289,9703,1.7381603409e-05,Steam
4816142,9981,1.559721746e-06,IGDB
99043,9981,3.13958435e-06,IGDB
3609341,9981,1.227261169e-06,Steam
2493144,9981,0.0,Steam
1277123,9981,6.226593585e-06,Steam
3609236,9981,4.09171809e-07,Steam
3501996,11435,6.238886983e-06,IGDB
99999,11435,5.494272613e-06,IGDB
3608893,11435,3.419783931e-06,Steam
3608756,11435,3.626385446e-06,Steam
683635,11435,2.157245022e-06,Steam
2492918,11435,0.0,Steam
4357816,11450,3.119443491e-06,IGDB
100011,11450,7.064064788e-06,IGDB
3608943,11450,1.3065505141e-05,Steam
2493069,11450,3.66351562e-07,Steam
652725,11450,3.0495600078e-05,Steam
3608803,11450,1.0213249275e-05,Steam
2975504,12072,0.0,Steam
4103400,12072,4.679165237e-06,IGDB
100481,12072,4.709376526e-06,IGDB
2970157,12072,6.86396143e-07,Steam
